title,url,date,category
U.S. FDA Approves Pfizer’s BRAFTOVI® Combination Regimen as First-Line Treatment of BRAF V600E-Mutant Metastatic Colorectal Cancer,https://www.pfizer.com/news/press-release/press-release-detail/us-fda-approves-pfizers-braftovir-combination-regimen-first,2024-12-20,prescription medicines
Pfizer Invites Public to View and Listen to Webcast of February 4 Conference Call with Analysts,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-february-4,2024-12-19,financial news
Pfizer Provides Full-Year 2025 Guidance and Reaffirms Full-Year 2024 Guidance,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-provides-full-year-2025-guidance-and-reaffirms-full,2024-12-17,financial news
Pfizer Declares First-Quarter 2025 Dividend,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-declares-first-quarter-2025-dividend,2024-12-12,financial news
"Pfizer’s IBRANCE® in Combination with Standard-of-Care Therapies Extends Median Progression-Free Survival by Over 15 Months in Phase 3 PATINA Study in Patients with HR+, HER2+ Metastatic Breast Cancer",https://www.pfizer.com/news/press-release/press-release-detail/pfizers-ibrancer-combination-standard-care-therapies,2024-12-12,prescription medicines
Pfizer Invites Public to View and Listen to Webcast of December 17 Conference Call with Analysts to Provide Full-Year 2025 Financial Guidance,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-december-17,2024-12-10,financial news
Arvinas and Pfizer Announce Initial Phase 1b Data from the TACTIVE-U Sub-Study of Vepdegestrant in Combination with Abemaciclib at 2024 San Antonio Breast Cancer Symposium,https://www.pfizer.com/news/press-release/press-release-detail/arvinas-and-pfizer-announce-initial-phase-1b-data-tactive-u,2024-12-10,clinical trial update
Pfizer Showcases Scientific Leadership in Breast Cancer and Blood Disorders Across More than 100 Presentations at ASH and SABCS,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-showcases-scientific-leadership-breast-cancer-and,2024-12-05,research and pipeline
"Pfizer Announces New Chief Scientific Officer and President, Research & Development",https://www.pfizer.com/news/press-release/press-release-detail/pfizer-announces-new-chief-scientific-officer-and-president,2024-11-20,management update
European Commission Approves Pfizer’s HYMPAVZI™ (marstacimab) for the Treatment of Adults and Adolescents with Severe Hemophilia A or B Without Inhibitors,https://www.pfizer.com/news/press-release/press-release-detail/european-commission-approves-pfizers-hympavzitm-marstacimab,2024-11-20,prescription medicines
Pfizer Invites Public to View and Listen to Webcast of Pfizer Discussion at Healthcare Conference,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-pfizer-23,2024-11-14,financial news
Pfizer Invites Public to View and Listen to Webcast of Pfizer Discussion at Healthcare Conference,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-pfizer-22,2024-11-04,financial news
Pfizer Reports Strong Third-Quarter 2024 Results And Raises 2024 Guidance,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-reports-strong-third-quarter-2024-results-and-raises,2024-10-29,financial news
Advisory Committee on Immunization Practices Recommends PREVNAR 20® (20-Valent Pneumococcal Conjugate Vaccine) for Adults Aged 50 and Older,https://www.pfizer.com/news/press-release/press-release-detail/advisory-committee-immunization-practices-recommends,2024-10-23,vaccines
U.S. FDA Approves Pfizer’s RSV Vaccine ABRYSVO® for Adults Aged 18 to 59 at Increased Risk for Disease,https://www.pfizer.com/news/press-release/press-release-detail/us-fda-approves-pfizers-rsv-vaccine-abrysvor-adults-aged-18,2024-10-22,vaccines
"Pfizer Supplies One Billionth Pneumococcal Conjugated Vaccine Dose for Vaccination of Children in Lower- Income Countries Through Gavi, the Vaccine Alliance",https://www.pfizer.com/news/press-release/press-release-detail/pfizer-supplies-one-billionth-pneumococcal-conjugated,2024-10-22,vaccines
Tim Buckley Elected to Pfizer’s Board of Directors,https://www.pfizer.com/news/press-release/press-release-detail/tim-buckley-elected-pfizers-board-directors,2024-10-15,management update
U.S. FDA Approves Pfizer’s HYMPAVZI™ (marstacimab-hncq) for the Treatment of Adults and Adolescents with Hemophilia A or B Without Inhibitors,https://www.pfizer.com/news/press-release/press-release-detail/us-fda-approves-pfizers-hympavzitm-marstacimab-hncq,2024-10-11,prescription medicines
Pfizer’s TALZENNA® in Combination with XTANDI® Prolongs Overall Survival in Phase 3 TALAPRO-2 Trial,https://www.pfizer.com/news/press-release/press-release-detail/pfizers-talzennar-combination-xtandir-prolongs-overall,2024-10-10,prescription medicines
Pfizer Declares Fourth-Quarter 2024 Dividend,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-declares-fourth-quarter-2024-dividend,2024-10-09,financial news
Pfizer to Showcase Scientific Advancements in Respiratory and Other Infectious Diseases at IDWeek 2024,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-showcase-scientific-advancements-respiratory-and,2024-10-08,research and pipeline
Pfizer Voluntarily Withdraws All Lots of Sickle Cell Disease Treatment OXBRYTA® (voxelotor) From Worldwide Markets,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-voluntarily-withdraws-all-lots-sickle-cell-disease,2024-09-25,prescription medicines
Pfizer and BioNTech Receive Positive CHMP Opinion for Omicron KP.2-adapted COVID-19 Vaccine in the European Union,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-receive-positive-chmp-opinion-omicron-4,2024-09-20,vaccines
Pfizer Invites Public to View and Listen to Webcast of October 29 Conference Call with Analysts,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-invites-public-view-and-listen-webcast-october-29,2024-09-17,financial news
