title,url,date,category
FDA approves Zepbound® (tirzepatide) as the first and only prescription medicine for moderate-to-severe obstructive sleep apnea in adults with obesity,https://lilly.mediaroom.com/2024-12-20-FDA-approves-Zepbound-R-tirzepatide-as-the-first-and-only-prescription-medicine-for-moderate-to-severe-obstructive-sleep-apnea-in-adults-with-obesity,2024-12-20T00:00:00,regulatory approval
Lilly's Kisunla™ (donanemab-azbt) Approved in China for the Treatment of Early Symptomatic Alzheimer's Disease,https://lilly.mediaroom.com/2024-12-17-Lillys-Kisunla-TM-donanemab-azbt-Approved-in-China-for-the-Treatment-of-Early-Symptomatic-Alzheimers-Disease,2024-12-17T00:00:00,regulatory approval
Lilly and EVA Pharma announce regulatory approval and release of locally manufactured insulin in Egypt,https://lilly.mediaroom.com/2024-12-17-Lilly-and-EVA-Pharma-announce-regulatory-approval-and-release-of-locally-manufactured-insulin-in-Egypt,2024-12-17T00:00:00,regulatory approval
Lilly's Omvoh® (mirikizumab) recommended by CHMP for approval in the European Union for adults with moderately to severely active Crohn's disease,https://lilly.mediaroom.com/2024-12-13-Lillys-Omvoh-R-mirikizumab-recommended-by-CHMP-for-approval-in-the-European-Union-for-adults-with-moderately-to-severely-active-Crohns-disease,2024-12-13T00:00:00,regulatory approval
"Lilly's Imlunestrant, an Oral SERD, Significantly Improved Progression-Free Survival as Monotherapy and in Combination with Verzenio® (abemaciclib) in Patients with ER+, HER2- Advanced Breast Cancer","https://lilly.mediaroom.com/2024-12-11-Lillys-Imlunestrant,-an-Oral-SERD,-Significantly-Improved-Progression-Free-Survival-as-Monotherapy-and-in-Combination-with-Verzenio-R-abemaciclib-in-Patients-with-ER-,-HER2-Advanced-Breast-Cancer",2024-12-11T00:00:00,clinical trial update
Phase 3 results for Lilly's Jaypirca® (pirtobrutinib) in covalent BTK inhibitor pre-treated chronic lymphocytic leukemia or small lymphocytic lymphoma to be presented at the 2024 ASH Annual Meeting,https://lilly.mediaroom.com/2024-12-09-Phase-3-results-for-Lillys-Jaypirca-R-pirtobrutinib-in-covalent-BTK-inhibitor-pre-treated-chronic-lymphocytic-leukemia-or-small-lymphocytic-lymphoma-to-be-presented-at-the-2024-ASH-Annual-Meeting,2024-12-09T00:00:00,clinical trial update
Lilly announces new $15 billion share repurchase program and seventh consecutive 15% dividend increase,https://lilly.mediaroom.com/2024-12-09-Lilly-announces-new-15-billion-share-repurchase-program-and-seventh-consecutive-15-dividend-increase,2024-12-09T00:00:00,financial news
"CORE Kidney, Boehringer Ingelheim and Lilly Are Turning Up the Volume on Kidney Health at the 2025 Tournament of Roses® Parade","https://lilly.mediaroom.com/2024-12-09-CORE-Kidney,-Boehringer-Ingelheim-and-Lilly-Are-Turning-Up-the-Volume-on-Kidney-Health-at-the-2025-Tournament-of-Roses-R-Parade",2024-12-09T00:00:00,commercialized drug update
Lilly announces $3 billion expansion of its recently acquired manufacturing facility in Wisconsin,https://lilly.mediaroom.com/2024-12-05-Lilly-announces-3-billion-expansion-of-its-recently-acquired-manufacturing-facility-in-Wisconsin,2024-12-05T00:00:00,commercialized drug update
Lilly's Zepbound® (tirzepatide) superior to Wegovy® (semaglutide) in head-to-head trial showing an average weight loss of 20.2% vs. 13.7%,https://lilly.mediaroom.com/2024-12-04-Lillys-Zepbound-R-tirzepatide-superior-to-Wegovy-R-semaglutide-in-head-to-head-trial-showing-an-average-weight-loss-of-20-2-vs-13-7,2024-12-04T00:00:00,clinical trial update
Lilly announces changes on board of directors,https://lilly.mediaroom.com/2024-11-19-Lilly-announces-changes-on-board-of-directors,2024-11-19T00:00:00,management update
Lilly's muvalaplin lowered lipoprotein(a) levels in adults with high risk for cardiovascular events by up to 85% at highest tested dose,https://lilly.mediaroom.com/2024-11-18-Lillys-muvalaplin-lowered-lipoprotein-a-levels-in-adults-with-high-risk-for-cardiovascular-events-by-up-to-85-at-highest-tested-dose,2024-11-18T00:00:00,clinical trial update
Lilly's tirzepatide reduced the risk of worsening heart failure events by 38% in adults with heart failure with preserved ejection fraction (HFpEF) and obesity,https://lilly.mediaroom.com/2024-11-16-Lillys-tirzepatide-reduced-the-risk-of-worsening-heart-failure-events-by-38-in-adults-with-heart-failure-with-preserved-ejection-fraction-HFpEF-and-obesity,2024-11-16T00:00:00,clinical trial update
Treatment with tirzepatide in adults with pre-diabetes and obesity or overweight resulted in sustained weight loss and nearly 99% remained diabetes-free at 176 weeks,https://lilly.mediaroom.com/2024-11-13-Treatment-with-tirzepatide-in-adults-with-pre-diabetes-and-obesity-or-overweight-resulted-in-sustained-weight-loss-and-nearly-99-remained-diabetes-free-at-176-weeks,2024-11-13T00:00:00,clinical trial update
Lilly announces details of presentations at the 2024 American Society of Hematology (ASH) Annual Meeting,https://lilly.mediaroom.com/2024-11-05-Lilly-announces-details-of-presentations-at-the-2024-American-Society-of-Hematology-ASH-Annual-Meeting,2024-11-05T00:00:00,clinical trial update
"Lilly to Present Results from Phase 3 EMBER-3 Study of Imlunestrant, an Oral SERD, and Additional Results from Its Breast Cancer Portfolio at the San Antonio Breast Cancer Symposium","https://lilly.mediaroom.com/2024-11-01-Lilly-to-Present-Results-from-Phase-3-EMBER-3-Study-of-Imlunestrant,-an-Oral-SERD,-and-Additional-Results-from-Its-Breast-Cancer-Portfolio-at-the-San-Antonio-Breast-Cancer-Symposium",2024-11-01T00:00:00,clinical trial update
Lilly reports Q3 2024 financial results highlighted by strong volume-driven revenue growth from New Products,https://lilly.mediaroom.com/2024-10-30-Lilly-reports-Q3-2024-financial-results-highlighted-by-strong-volume-driven-revenue-growth-from-New-Products,2024-10-30T00:00:00,financial news
Modified Titration of Donanemab Demonstrated Reduction of ARIA-E in Early Symptomatic Alzheimer's Disease Patients in Phase 3b study,https://lilly.mediaroom.com/2024-10-29-Modified-Titration-of-Donanemab-Demonstrated-Reduction-of-ARIA-E-in-Early-Symptomatic-Alzheimers-Disease-Patients-in-Phase-3b-study,2024-10-29T00:00:00,clinical trial update
Lilly declares fourth-quarter 2024 dividend,https://lilly.mediaroom.com/2024-10-28-Lilly-declares-fourth-quarter-2024-dividend,2024-10-28T00:00:00,financial news
"Lilly's mirikizumab is first and only IL23p19 antagonist to report long-term, multi-year, sustained efficacy and safety data for both ulcerative colitis and Crohn's disease","https://lilly.mediaroom.com/2024-10-28-Lillys-mirikizumab-is-first-and-only-IL23p19-antagonist-to-report-long-term,-multi-year,-sustained-efficacy-and-safety-data-for-both-ulcerative-colitis-and-Crohns-disease",2024-10-28T00:00:00,clinical trial update
