title,url,date,tags,excerpt
"Merck Closes Exclusive Global License Agreement for LM-299, An Investigational Anti-PD-1/VEGF Bispecific Antibody",https://www.merck.com/news/merck-closes-exclusive-global-license-agreement-for-lm-299-an-investigational-anti-pd-1-vegf-bispecific-antibody/,2024-12-20,licensing agreement,
"Merck Announces Topline Results from Pivotal Phase 3 Trials Evaluating Investigational, Once-Daily, Oral, Two-Drug, Single-Tablet Regimen of Doravirine/Islatravir (DOR/ISL) for the Treatment of Adults with Virologically Suppressed HIV-1 Infection",https://www.merck.com/news/merck-announces-topline-results-from-pivotal-phase-3-trials-evaluating-investigational-once-daily-oral-two-drug-single-tablet-regimen-of-doravirine-islatravir-dor-isl-for-the-treatment-of-adults/,2024-12-19,clinical trial update,
Merck Enters into Exclusive Global License Agreement with Hansoh Pharma for Investigational Oral GLP-1 Receptor Agonist,https://www.merck.com/news/merck-enters-into-exclusive-global-license-agreement-with-hansoh-pharma-for-investigational-oral-glp-1-receptor-agonist/,2024-12-18,licensing agreement,
"Merck Announces FDA Acceptance of Biologics License Application for Clesrovimab, an Investigational Long-Acting Monoclonal Antibody Designed to Protect Infants from RSV Disease During their First RSV Season",https://www.merck.com/news/merck-announces-fda-acceptance-of-biologics-license-application-for-clesrovimab-an-investigational-long-acting-monoclonal-antibody-designed-to-protect-infants-from-rsv-disease-during-their-first-rsv/,2024-12-17,regulatory approval,
Merck Provides Update on KeyVibe and KEYFORM Clinical Development Programs Evaluating Investigational Vibostolimab and Favezelimab Fixed-Dose Combinations with Pembrolizumab,https://www.merck.com/news/merck-provides-update-on-keyvibe-and-keyform-clinical-development-programs-evaluating-investigational-vibostolimab-and-favezelimab-fixed-dose-combinations-with-pembrolizumab/,2024-12-16,clinical trial update,
"Merck’s KEYTRUDA® (pembrolizumab) Approved in China in Combination With Chemotherapy as Neoadjuvant Treatment, Then Continued as Monotherapy After Surgery as Adjuvant Treatment for Patients With Resectable Stage II, IIIA or IIIB NSCLC",https://www.merck.com/news/mercks-keytruda-pembrolizumab-approved-in-china-in-combination-with-chemotherapy-as-neoadjuvant-treatment-then-continued-as-monotherapy-after-surgery-as-adjuvant-treatment-for-patien/,2024-12-16,regulatory approval,
Merck Receives Positive EU CHMP Opinion for WELIREG® (belzutifan) as Treatment for Adult Patients With Certain Types of Von Hippel-Lindau Disease-Associated Tumors and for Certain Previously Treated Adult Patients With Advanced Renal Cell Carcinoma,https://www.merck.com/news/merck-receives-positive-eu-chmp-opinion-for-welireg-belzutifan-as-treatment-for-adult-patients-with-certain-types-of-von-hippel-lindau-disease-associated-tumors-and-for-certain-previously-trea/,2024-12-13,regulatory approval,
LYNPARZA® (olaparib) Demonstrated Clinically Meaningful Prolonged Survival Benefit in Early Breast Cancer in OlympiA Phase 3 Trial,https://www.merck.com/news/lynparza-olaparib-demonstrated-clinically-meaningful-prolonged-survival-benefit-in-early-breast-cancer-in-olympia-phase-3-trial/,2024-12-11,clinical trial update,
Merck Announces Phase 3 KEYLYNK-001 Trial Met Primary Endpoint of Progression-Free Survival (PFS) in Patients With Advanced Epithelial Ovarian Cancer,https://www.merck.com/news/merck-announces-phase-3-keylynk-001-trial-met-primary-endpoint-of-progression-free-survival-pfs-in-patients-with-advanced-epithelial-ovarian-cancer/,2024-12-09,clinical trial update,
Merck’s Investigational Zilovertamab Vedotin in Combination With R-CHP Demonstrates Complete Response Rate of 100% at 1.75 mg/kg Dose in Phase 2 Trial of Previously Untreated Patients With Diffuse Large B-Cell Lymphoma,https://www.merck.com/news/mercks-investigational-zilovertamab-vedotin-in-combination-with-r-chp-demonstrates-complete-response-rate-of-100-at-1-75-mg-kg-dose-in-phase-2-trial-of-previously-untreated-patients-with-diff/,2024-12-08,clinical trial update,
Merck Earns Top Spot on Newsweek’s List of America’s Most Responsible Companies 2025,https://www.merck.com/news/merck-earns-top-spot-on-newsweeks-list-of-americas-most-responsible-companies-2025/,"December 05, 2024",Corporate Responsibility News,
Merck and Ridgeback Biotherapeutics Announce Initiation of Phase 3 Study (MOVe-NOW) Evaluating LAGEVRIO™ (molnupiravir) for the Treatment of COVID-19 in High-Risk Adults,https://www.merck.com/news/merck-and-ridgeback-biotherapeutics-announce-initiation-of-phase-3-study-move-now-evaluating-lagevrio-molnupiravir-for-the-treatment-of-covid-19-in-high-risk-adults/,"December 05, 2024",clinical trial update,
FDA Grants Breakthrough Therapy Designation to Sacituzumab Tirumotecan (sac-TMT) for the Treatment of Certain Patients With Previously Treated Advanced or Metastatic Nonsquamous Non-Small Cell Lung Cancer With EGFR Mutations,https://www.merck.com/news/fda-grants-breakthrough-therapy-designation-to-sacituzumab-tirumotecan-sac-tmt-for-the-treatment-of-certain-patients-with-previously-treated-advanced-or-metastatic-nonsquamous-non-small-cell-lung-ca/,"December 03, 2024",regulatory approval,
