title,url,date,tags,excerpt
"Merck Closes Exclusive Global License Agreement for LM-299, An Investigational Anti-PD-1/VEGF Bispecific Antibody",https://www.merck.com/news/merck-closes-exclusive-global-license-agreement-for-lm-299-an-investigational-anti-pd-1-vegf-bispecific-antibody/,2024-12-20T00:00:00,Licensing Agreement,
"Merck Announces Topline Results from Pivotal Phase 3 Trials Evaluating Investigational, Once-Daily, Oral, Two-Drug, Single-Tablet Regimen of Doravirine/Islatravir (DOR/ISL) for the Treatment of Adults with Virologically Suppressed HIV-1 Infection",https://www.merck.com/news/merck-announces-topline-results-from-pivotal-phase-3-trials-evaluating-investigational-once-daily-oral-two-drug-single-tablet-regimen-of-doravirine-islatravir-dor-isl-for-the-treatment-of-adults/,2024-12-19T00:00:00,Clinical trial update,
Merck Enters into Exclusive Global License Agreement with Hansoh Pharma for Investigational Oral GLP-1 Receptor Agonist,https://www.merck.com/news/merck-enters-into-exclusive-global-license-agreement-with-hansoh-pharma-for-investigational-oral-glp-1-receptor-agonist/,2024-12-18T00:00:00,Licensing Agreement,
"Merck Announces FDA Acceptance of Biologics License Application for Clesrovimab, an Investigational Long-Acting Monoclonal Antibody Designed to Protect Infants from RSV Disease During their First RSV Season",https://www.merck.com/news/merck-announces-fda-acceptance-of-biologics-license-application-for-clesrovimab-an-investigational-long-acting-monoclonal-antibody-designed-to-protect-infants-from-rsv-disease-during-their-first-rsv/,2024-12-17T00:00:00,Regulatory approval,
Merck Provides Update on KeyVibe and KEYFORM Clinical Development Programs Evaluating Investigational Vibostolimab and Favezelimab Fixed-Dose Combinations with Pembrolizumab,https://www.merck.com/news/merck-provides-update-on-keyvibe-and-keyform-clinical-development-programs-evaluating-investigational-vibostolimab-and-favezelimab-fixed-dose-combinations-with-pembrolizumab/,2024-12-16T00:00:00,Clinical trial update,
"Merck’s KEYTRUDA® (pembrolizumab) Approved in China in Combination With Chemotherapy as Neoadjuvant Treatment, Then Continued as Monotherapy After Surgery as Adjuvant Treatment for Patients With Resectable Stage II, IIIA or IIIB NSCLC",https://www.merck.com/news/mercks-keytruda-pembrolizumab-approved-in-china-in-combination-with-chemotherapy-as-neoadjuvant-treatment-then-continued-as-monotherapy-after-surgery-as-adjuvant-treatment-for-patien/,2024-12-16T00:00:00,Regulatory approval,
Merck Receives Positive EU CHMP Opinion for WELIREG® (belzutifan) as Treatment for Adult Patients With Certain Types of Von Hippel-Lindau Disease-Associated Tumors and for Certain Previously Treated Adult Patients With Advanced Renal Cell Carcinoma,https://www.merck.com/news/merck-receives-positive-eu-chmp-opinion-for-welireg-belzutifan-as-treatment-for-adult-patients-with-certain-types-of-von-hippel-lindau-disease-associated-tumors-and-for-certain-previously-trea/,2024-12-13T00:00:00,Regulatory approval,
LYNPARZA® (olaparib) Demonstrated Clinically Meaningful Prolonged Survival Benefit in Early Breast Cancer in OlympiA Phase 3 Trial,https://www.merck.com/news/lynparza-olaparib-demonstrated-clinically-meaningful-prolonged-survival-benefit-in-early-breast-cancer-in-olympia-phase-3-trial/,2024-12-11T00:00:00,Clinical trial update,
Merck Announces Phase 3 KEYLYNK-001 Trial Met Primary Endpoint of Progression-Free Survival (PFS) in Patients With Advanced Epithelial Ovarian Cancer,https://www.merck.com/news/merck-announces-phase-3-keylynk-001-trial-met-primary-endpoint-of-progression-free-survival-pfs-in-patients-with-advanced-epithelial-ovarian-cancer/,2024-12-09T00:00:00,Clinical trial update,
Merck’s Investigational Zilovertamab Vedotin in Combination With R-CHP Demonstrates Complete Response Rate of 100% at 1.75 mg/kg Dose in Phase 2 Trial of Previously Untreated Patients With Diffuse Large B-Cell Lymphoma,https://www.merck.com/news/mercks-investigational-zilovertamab-vedotin-in-combination-with-r-chp-demonstrates-complete-response-rate-of-100-at-1-75-mg-kg-dose-in-phase-2-trial-of-previously-untreated-patients-with-diff/,2024-12-08T00:00:00,Clinical trial update,
"Merck Announces Positive Data on V116, an Investigational, 21-Valent Pneumococcal Conjugate Vaccine Specifically Designed for Adults, Demonstrated Immune Responses in Adults",https://www.merck.com/news/merck-announces-positive-data-on-v116-an-investigational-21-valent-pneumococcal-conjugate-vaccine-specifically-designed-for-adults-demonstrated-immune-responses-in-adults/,2024-03-19T00:00:00,clinical trial update,
Merck’s KEYTRUDA® (pembrolizumab) Plus Chemoradiotherapy (CRT) Significantly Improved Overall Survival (OS) Versus CRT Alone in Patients With Newly Diagnosed High-Risk Locally Advanced Cervical Cancer,https://www.merck.com/news/mercks-keytruda-pembrolizumab-plus-chemoradiotherapy-crt-significantly-improved-overall-survival-os-versus-crt-alone-in-patients-with-newly-diagnosed-high-risk-locally-advanced-ce/,2024-03-15T00:00:00,clinical trial update,
Merck Announces Plans to Conduct Clinical Trials of a Novel Investigational Multi-Valent Human Papillomavirus (HPV) Vaccine and Single-Dose Regimen for GARDASIL®9,https://www.merck.com/news/merck-announces-plans-to-conduct-clinical-trials-of-a-novel-investigational-multi-valent-human-papillomavirus-hpv-vaccine-and-single-dose-regimen-for-gardasil-9/,2024-03-13T00:00:00,clinical trial update,
"Merck Completes Acquisition of Harpoon Therapeutics, Inc.",https://www.merck.com/news/merck-completes-acquisition-of-harpoon-therapeutics-inc/,2024-03-11T00:00:00,management update,
Gilead and Merck Announce Phase 2 Data Showing an Investigational Oral Once-Weekly Combination Regimen of Islatravir and Lenacapavir Maintained Viral Suppression at Week 24,https://www.merck.com/news/gilead-and-merck-announce-phase-2-data-showing-an-investigational-oral-once-weekly-combination-regimen-of-islatravir-and-lenacapavir-maintained-viral-suppression-at-week-24/,2024-03-06T00:00:00,clinical trial update,
Merck to Participate in the Barclays 26th Annual Global Healthcare Conference,https://www.merck.com/news/merck-to-participate-in-the-barclays-26th-annual-global-healthcare-conference/,2024-03-05T00:00:00,management update,
Merck to Participate in the Leerink Partners Global Biopharma Conference 2024,https://www.merck.com/news/merck-to-participate-in-the-leerink-partners-global-biopharma-conference-2024/,2024-03-04T00:00:00,management update,
